,presynaptic_neuron,postsynaptic_neuron,actual_sign,source,target,pseudoinverse_predicted_sign,regularized_predicted_sign,heavily_regularized_sign
158,RIBL,AVAL,1.0,184,51,0.008618453189834046,-0.09967423525235665,-1.6709986788093857e-07
159,RIBL,AVBR,-1.0,184,54,-0.13115625224894298,0.09931746519912853,1.6279987128077036e-07
160,RIBL,SMDVR,-1.0,184,240,-0.23793865844857082,-0.16419366560300458,-2.5369979940989874e-07
161,RIBR,AVAR,1.0,185,52,-0.10808076562206327,-0.22124227356366283,-3.7729970168448933e-07
162,RIBR,AVBL,-1.0,185,53,-0.5306354405829934,-0.021610833670954014,-4.949996086239666e-08
163,RIBR,SMDDL,-1.0,185,237,-0.33959417649980306,-0.21999595450493756,-3.356997345758887e-07
164,RIBR,SMDVL,-1.0,185,239,-0.14320853687803828,-0.23912396717639792,-3.651997112514585e-07
165,RIBR,SMDVR,-1.0,185,240,-0.6186450833671426,-0.20552249499403946,-3.134997521285111e-07
166,RIGL,RIBL,1.0,191,184,0.012770104756657769,-0.06062157992281985,-8.139993564038538e-08
167,RIGR,RIAR,1.0,192,183,-0.43540967636165007,0.06806865489835222,8.919992947324788e-08
168,RIGR,RIBR,1.0,192,185,0.12088102902767754,-0.012455231581607645,-1.7099986479736972e-08
169,RIML,RIAL,1.0,194,182,-0.47032732200107963,0.22000705801046666,3.1279975268197216e-07
170,RIML,RIBL,1.0,194,184,-0.1661750860479489,-0.07329903622100077,-1.0789991468793091e-07
171,RIMR,RIBR,1.0,195,185,-0.12302394899994347,-0.03948656359221617,-5.2599958411354656e-08
172,RIVL,SAADR,-1.0,198,217,-0.05847451403448653,-0.032405491778882724,-4.7199962680911383e-08
173,RIVR,SAADL,-1.0,199,216,-0.024906838586956016,-0.04437736096182882,-6.419994923971422e-08
174,RMDVR,AVAR,1.0,205,52,-0.06689143358704387,-0.044281283312299836,-5.47999566719056e-08
175,RMFL,SAAVR,-1.0,210,219,-0.005918090613229718,-0.01590223327441332,-2.399998102419223e-08
