7,83,no pred
7,147,no pred
7,151,no pred
7,167,+
7,186,+
7,187,+
7,190,+
7,231,+
7,236,no pred
7,246,+
7,248,no pred
8,8,no pred
8,12,+
8,17,no pred
8,18,-
8,39,no pred
8,40,no pred
8,70,no pred
9,8,no pred
9,19,-
9,39,no pred
9,40,no pred
10,0,no pred
10,4,no pred
10,6,no pred
10,12,-
10,14,no pred
10,20,-
10,39,no pred
10,40,no pred
10,41,no pred
10,43,no pred
10,45,no pred
10,47,no pred
10,72,no pred
10,73,no pred
10,176,+
10,189,no pred
10,196,no pred
10,212,no pred
11,1,no pred
11,7,no pred
11,13,-
11,21,-
11,40,no pred
11,42,no pred
11,72,no pred
11,73,no pred
11,190,no pred
12,12,+
12,21,no pred
12,43,no pred
12,44,no pred
12,51,+
12,53,+
12,57,+
12,109,+
12,127,no pred
12,185,complex
12,189,+
12,192,+
12,194,complex
12,195,complex
12,211,+
12,216,+
12,217,+
12,218,+
12,226,no pred
12,228,no pred
12,230,+
12,238,+
12,240,+
13,7,no pred
13,11,complex
13,19,-
13,27,no pred
13,49,+
13,52,+
13,54,+
13,57,+
13,73,no pred
13,106,+
13,182,complex
13,184,complex
13,187,+
13,191,+
13,194,complex
13,195,complex
13,210,+
13,216,+
13,217,+
13,219,+
13,225,no pred
13,232,+
13,237,+
13,239,+
13,265,+
14,10,complex
14,23,complex
14,41,no pred
14,45,no pred
14,47,no pred
14,55,+
14,59,no pred
14,60,no pred
14,62,+
14,63,+
14,64,+
14,80,no pred
14,176,+
14,188,+
14,189,+
14,212,complex
14,235,-
14,247,-
15,5,no pred
15,11,complex
15,15,no pred
15,22,+
15,42,no pred
15,46,no pred
15,48,no pred
15,52,complex
15,56,+
15,59,no pred
15,60,no pred
15,63,+
15,65,+
15,77,+
15,83,no pred
15,111,+
15,112,+
15,149,no pred
15,173,+
15,190,+
15,203,complex
15,213,complex
15,248,-
16,9,no pred
16,11,no pred
16,39,no pred
16,42,no pred
16,50,no pred
16,74,no pred
16,83,no pred
16,184,+
16,185,+
16,188,+
16,204,-
16,210,-
16,218,complex
17,8,no pred
17,9,no pred
17,10,no pred
17,12,-
17,16,no pred
17,17,no pred
17,39,no pred
17,40,no pred
17,41,no pred
17,49,no pred
17,50,no pred
17,72,no pred
17,75,no pred
17,80,no pred
17,184,+
17,188,+
17,247,-
17,248,-
18,8,no pred
18,12,-
18,20,-
18,40,no pred
18,72,no pred
18,73,no pred
18,112,+
18,182,-
18,184,+
18,193,-
18,196,no pred
19,5,no pred
19,9,no pred
19,16,no pred
19,18,+
19,21,-
19,39,no pred
19,40,no pred
19,42,no pred
19,71,no pred
19,75,no pred
19,183,-
19,185,+
19,199,-
20,4,no pred
20,8,no pred
20,10,complex
20,12,+
20,13,+
20,39,no pred
20,57,+
20,58,+
20,67,+
20,73,no pred
20,106,+
20,182,complex
20,187,+
